system:time_start,pr,srad,etr,vpd,vs
"Apr 18, 2015",6.289,0,318.123,0.758,4.934
"Apr 19, 2015",7.818,6.613,318.47,0.967,6.091
"Apr 20, 2015",5.951,14.26,190.36,0.702,7.253
"Apr 21, 2015",3.64,0,245.945,0.323,6.872
"Apr 22, 2015",2.979,1.181,219.168,0.282,4.86
"Apr 23, 2015",2.155,0,148.518,0.183,7.378
"Apr 24, 2015",2.854,0,212.872,0.242,7.669
"Apr 25, 2015",3.905,0,316.601,0.442,2.842
"Apr 26, 2015",4.016,0,262.141,0.526,2.818
"Apr 27, 2015",2.413,0,111.944,0.277,4.171
"Apr 28, 2015",4.705,0,305.499,0.495,4.503
"Apr 29, 2015",5.273,0,273.795,0.654,4.281
"Apr 30, 2015",4.664,0,294.276,0.646,2.421
"May 1, 2015",4.838,0,315.952,0.735,1.955
"May 2, 2015",6.138,0,335.983,0.911,2.882
"May 3, 2015",6.577,0,339.799,1.267,2.131
"May 4, 2015",6.83,0,273.628,1.28,2.964
"May 5, 2015",4.751,0,298.362,0.524,3.343
"May 6, 2015",6.239,0,339.902,1.005,2.437
"May 7, 2015",6.344,0,343.346,1.304,1.694
"May 8, 2015",7.582,0,342.626,1.876,1.907
"May 9, 2015",8.302,0.787,336.562,1.799,2.697
"May 10, 2015",5.36,1.801,258.781,0.917,2.241
"May 11, 2015",6.591,16.79,320.571,0.889,3.642
"May 12, 2015",1.864,0,265.764,0,6.725
"May 13, 2015",2.98,0,272.092,0.208,5.554
"May 14, 2015",6.217,0,360.692,0.9,2.69
"May 15, 2015",5.814,1.958,166.018,1.223,2.971
"May 16, 2015",5.008,0,264.794,0.834,2.033
"May 17, 2015",5.074,0,246.658,1.014,1.743
"May 18, 2015",6.664,0,336.986,0.963,2.879
"May 19, 2015",2.6,0,321.772,0,4.718
"May 20, 2015",4.779,0,327.632,0.435,5.929
"May 21, 2015",6.034,0,356.021,0.819,2.949
"May 22, 2015",4.886,0,369.577,0.444,4.435
"May 23, 2015",6.823,0,370.136,0.976,3.094
"May 24, 2015",9.587,0,349.186,1.655,4.164
"May 25, 2015",7.948,1.279,298.638,1.547,3.231
"May 26, 2015",8.022,0,354.743,1.03,4.994
"May 27, 2015",6.093,1.614,279.365,0.788,4.059
"May 28, 2015",6.138,0,337.589,0.637,4.846
"May 29, 2015",8.651,1.004,347.65,1.642,3.215
"May 30, 2015",5.414,11.977,256.995,0.726,3.364
"May 31, 2015",0.847,43.44,109.284,0,5.977
"Jun 1, 2015",2.804,3.159,128.095,0.348,3.464
"Jun 2, 2015",4.45,0,336.639,0.504,1.314
"Jun 3, 2015",7.063,0,362.915,1.035,3.116
"Jun 4, 2015",7.029,0,256.943,1.206,3.713
"Jun 5, 2015",4.999,9.408,282.77,0.691,1.897
"Jun 6, 2015",4.212,0,354.428,0.262,3.811
"Jun 7, 2015",8.056,15.471,354.935,1.582,2.644
"Jun 8, 2015",4.567,0.945,245.546,0.439,4.742
"Jun 9, 2015",2.948,1.929,222.412,0.118,2.546
"Jun 10, 2015",6.431,13.365,279.339,1.045,3.098
"Jun 11, 2015",6.396,4.911,338.887,0.666,5.117
"Jun 12, 2015",7.007,4.37,277.996,1.21,3.307
"Jun 13, 2015",5.307,0,305.268,0.668,2.151
"Jun 14, 2015",5.311,9.871,180.075,1.065,2.893
"Jun 15, 2015",4.603,4.507,234.734,0.695,1.894
"Jun 16, 2015",4.475,0.905,288.301,0.318,1.856
"Jun 17, 2015",6.717,0,341.868,0.788,4.387
"Jun 18, 2015",6.313,0,347.881,0.967,1.98
"Jun 19, 2015",4.137,0,336.375,0.179,2.918
"Jun 20, 2015",7.863,0,353.946,1.261,3.342
"Jun 21, 2015",5.624,0,288.982,0.715,3.042
"Jun 22, 2015",7.94,4.842,356.233,1.32,3.093
"Jun 23, 2015",5.141,0,286.811,0.443,6.011
"Jun 24, 2015",6.477,0,361.225,0.754,3.533
"Jun 25, 2015",5.785,0,288.526,0.964,2.254
"Jun 26, 2015",6.044,0,350.85,0.827,2.133
"Jun 27, 2015",3.588,35.213,150.13,0.416,4.884
"Jun 28, 2015",3.497,3.533,136.999,0.348,7.674
"Jun 29, 2015",5.988,0.945,298.021,0.822,3.24
"Jun 30, 2015",5.569,5.432,151.987,0.957,4.242
"Jul 1, 2015",4.168,0,205.548,0.532,3.103
"Jul 2, 2015",4.743,0,318.046,0.475,2.128
"Jul 3, 2015",6.406,0,367.238,1.1,1.696
"Jul 4, 2015",6.326,0,366.885,1.016,1.674
"Jul 5, 2015",7.077,0,366.846,1.153,2.256
"Jul 6, 2015",7.796,0.994,361.026,1.602,2.162
"Jul 7, 2015",7.08,1.397,335.444,1.003,3.215
"Jul 8, 2015",4.55,0,322.081,0.291,3.325
"Jul 9, 2015",2.882,6.21,141.74,0.488,1.528
"Jul 10, 2015",6.844,0,365.851,0.889,3.101
"Jul 11, 2015",7.5,0,360.512,1.11,3.254
"Jul 12, 2015",6.609,0,327.805,1.141,2.202
"Jul 13, 2015",6.909,0,358.642,1.415,1.429
"Jul 14, 2015",3.832,1.142,241.486,0.296,2.117
"Jul 15, 2015",4.043,0,355.013,0.168,4.362
"Jul 16, 2015",6.608,0,361.675,0.93,2.68
"Jul 17, 2015",5.681,14.644,154.409,1.121,3.666
"Jul 18, 2015",6.377,1.22,317.224,0.953,2.291
"Jul 19, 2015",6.899,0,339.922,0.778,4.184
"Jul 20, 2015",6.876,0,346.931,0.906,3.19
"Jul 21, 2015",6.002,0,315.425,0.697,3.837
"Jul 22, 2015",6.563,0,344.502,0.782,4.203
"Jul 23, 2015",6.737,0,353.657,0.911,3.184
"Jul 24, 2015",6.627,6.072,352.546,1.293,1.675
"Jul 25, 2015",6.803,1.604,288.044,1.313,2.668
"Jul 26, 2015",6.537,0,347.49,0.907,2.454
"Jul 27, 2015",6.548,0,345.369,1.386,1.317
"Jul 28, 2015",6.405,0,343.314,1.519,1.059
"Jul 29, 2015",7.301,0,329.032,1.675,1.902
"Jul 30, 2015",6.909,0,340.493,0.827,4.267
"Jul 31, 2015",7.776,2.923,324.464,1.191,4.127
"Aug 1, 2015",6.239,1.801,306.765,0.789,4.096
"Aug 2, 2015",8.068,1.417,329.302,1.312,3.982
"Aug 3, 2015",5.8,0,255.485,0.67,5.793
"Aug 4, 2015",4.672,2.657,210.623,0.838,2.341
"Aug 5, 2015",4.595,0,228.644,0.554,4.057
"Aug 6, 2015",5.853,0,326.809,0.803,2.847
"Aug 7, 2015",5.785,0,325.402,0.825,2.474
"Aug 8, 2015",4.327,0,192.339,0.586,3.785
"Aug 9, 2015",5.83,0,322.408,1.101,1.674
"Aug 10, 2015",5.596,47.446,240.073,1.286,2.019
"Aug 11, 2015",4.35,0,224.275,0.493,3.766
"Aug 12, 2015",4.311,0,247.358,0.436,4.415
"Aug 13, 2015",7.122,0,319.665,1.098,3.812
"Aug 14, 2015",7.459,32.516,316.755,1.16,4.094
"Aug 15, 2015",5.128,0,299.916,0.692,1.625
"Aug 16, 2015",5.707,0,306.746,1.079,1.533
"Aug 17, 2015",6.45,0,305.904,1.178,2.369
"Aug 18, 2015",5.005,0.856,244.641,0.918,1.923
"Aug 19, 2015",6.722,3.169,277.547,1.323,2.851
"Aug 20, 2015",3.511,19.397,166.885,0.377,4.506
"Aug 21, 2015",4.97,0,298.484,0.452,6.382
"Aug 22, 2015",4.777,0,304.214,0.754,1.492
"Aug 23, 2015",5.738,0,301.741,1.204,1.797
"Aug 24, 2015",4.764,0,246.195,0.576,4.124
"Aug 25, 2015",4.187,0.984,143.121,0.557,5.413
"Aug 26, 2015",4.109,0.876,153.715,0.546,5.051
"Aug 27, 2015",2.848,0,168.421,0.271,4.246
"Aug 28, 2015",4.684,0,280.2,0.713,2.174
"Aug 29, 2015",4.67,0,215.403,1.039,1.973
"Aug 30, 2015",4.117,0,193.444,1.098,1.412
"Aug 31, 2015",5.675,0,277.058,0.999,2.602
"Sep 1, 2015",5.3,0,259.738,1.152,1.925
"Sep 2, 2015",5.67,0,253.05,1.38,2.008
"Sep 3, 2015",4.99,0,233.629,1.016,2.124
"Sep 4, 2015",6.394,0,251.335,1.096,3.952
"Sep 5, 2015",6.354,1.575,233.224,1.415,3.013
"Sep 6, 2015",5.057,0,238.479,1.251,1.706
"Sep 7, 2015",7.463,0,243.073,1.66,3.632
"Sep 8, 2015",6.049,1.338,203.441,1.694,2.515
"Sep 9, 2015",4.588,5.649,198.571,0.654,4.207
"Sep 10, 2015",4.577,0,240.176,0.823,2.473
"Sep 11, 2015",3.964,15.303,236.122,1.064,1.128
"Sep 12, 2015",1.159,38.027,82.32,0.054,5.799
"Sep 13, 2015",0.652,7.233,69.523,0,6.727
"Sep 14, 2015",5.524,0,237.484,0.66,6.852
"Sep 15, 2015",5.392,0,233.154,0.94,3.512
"Sep 16, 2015",4.333,0,230.603,1.108,1.512
"Sep 17, 2015",4.516,0,229.164,1.025,1.918
"Sep 18, 2015",5.069,0,214.94,1.31,2.191
"Sep 19, 2015",3.721,4.35,172.725,0.484,4.566
"Sep 20, 2015",3.298,0,227.127,0.336,4.857
"Sep 21, 2015",4.262,0,221.063,0.732,2.968
"Sep 22, 2015",4.039,0,218.769,0.72,2.598
"Sep 23, 2015",3.032,0,218.12,0.755,0.826
"Sep 24, 2015",4.219,0,157.268,0.854,3.021
"Sep 25, 2015",4.241,0,188.606,0.618,4.432
"Sep 26, 2015",4.783,0,207.899,0.647,5.502
"Sep 27, 2015",5.042,0.531,204.263,1.009,3.296
"Sep 28, 2015",3.109,1.909,67.621,0.692,3.152
"Sep 29, 2015",1.593,21.986,95.015,0.2,1.526
"Sep 30, 2015",0.929,1.634,169.828,0,6.928
"Oct 1, 2015",3.576,0,188.735,0.355,8.982
"Oct 2, 2015",3.826,0,191.375,0.367,10.541
"Oct 3, 2015",3.432,0.482,116.376,0.322,12.38
"Oct 4, 2015",4.779,0,119.891,0.594,7.717
"Oct 5, 2015",2.965,0,79.417,0.653,2.725
"Oct 6, 2015",1.591,0,108.044,0.207,2.015
"Oct 7, 2015",2.286,0,134.583,0.311,3.344
"Oct 8, 2015",3.943,13.66,189.506,0.612,4.235
"Oct 9, 2015",1.707,0.472,119.846,0.16,5.211
"Oct 10, 2015",3.091,0,170.682,0.474,3.657
"Oct 11, 2015",6.103,0,181.328,0.88,6.772
"Oct 12, 2015",6.384,3.356,181.193,1.197,4.941
