"week","site","neon","nee_night.avg","nee_night.upper","nee_night.lower"
25,"ARM","KONZ", 5.9199230899, 6.2663111237, 5.5735350560
26,"ARM","KONZ", 5.6994299559, 6.0803793284, 5.3184805833
27,"ARM","KONZ", 5.0209784142, 5.3618898737, 4.6800669548
28,"ARM","KONZ", 6.7272372381, 7.0780877961, 6.3763866801
29,"ARM","KONZ", 5.7140233975, 6.2370146454, 5.1910321496
30,"ARM","KONZ", 3.8839775787, 4.3715780977, 3.3963770597
31,"ARM","KONZ", 3.2666939020, 3.5581944856, 2.9751933183
32,"ARM","KONZ", 3.5600554311, 3.9964566399, 3.1236542222
33,"ARM","KONZ", 4.2336992707, 4.7839307791, 3.6834677623
34,"ARM","KONZ", 5.3683961815, 5.6996731309, 5.0371192322
35,"ARM","KONZ", 5.6481441054, 5.8993904695, 5.3968977412
36,"ARM","KONZ", 4.1972964412, 4.3723653173, 4.0222275651
37,"ARM","KONZ", 3.4672536168, 3.5965709048, 3.3379363288
38,"ARM","KONZ", 3.8956366437, 4.1201118875, 3.6711613998
39,"ARM","KONZ", 3.1998643485, 3.4416278172, 2.9581008798
40,"ARM","KONZ", 2.2161745483, 2.4082008526, 2.0241482439
41,"ARM","KONZ", 2.7452381140, 2.9367346211, 2.5537416070
42,"ARM","KONZ", 2.4358388235, 2.6160098465, 2.2556678005
43,"ARM","KONZ", 1.7090114853, 1.8813619180, 1.5366610527
44,"ARM","KONZ", 1.7668522623, 1.9773728501, 1.5563316745
45,"ARM","KONZ", 1.9069390622, 2.0137203975, 1.8001577270
46,"ARM","KONZ", 1.5558612379, 1.7414776792, 1.3702447967
47,"ARM","KONZ", 1.8594852832, 1.9865114846, 1.7324590817
48,"ARM","KONZ", 1.5923808786, 1.7731063759, 1.4116553814
49,"ARM","KONZ", 1.4827737547, 1.6918522663, 1.2736952431
50,"ARM","KONZ", 1.3440392381, 1.5842897521, 1.1037887241
51,"ARM","KONZ", 1.3826032774, 1.6127068463, 1.1524997086
52,"ARM","KONZ", 1.4188308793, 1.6392550280, 1.1984067306
53,"ARM","KONZ", 1.2636146429, 1.4605442857, 1.0666850000
 1,"Washita","KONZ",-0.3256468836,-0.2555279974,-0.3957657698
 2,"Washita","KONZ",-0.2025815134,-0.1323469507,-0.2728160762
 3,"Washita","KONZ",-0.4460504091,-0.3979205140,-0.4941803043
 4,"Washita","KONZ",-0.4914653761,-0.4303814073,-0.5525493448
 5,"Washita","KONZ",-0.3861636712,-0.2537565794,-0.5185707629
 6,"Washita","KONZ", 0.0190274244, 0.1029094474,-0.0648545986
 7,"Washita","KONZ",-0.0217509209, 0.0455498983,-0.0890517402
 8,"Washita","KONZ",-0.7366985939,-0.5768814986,-0.8965156892
 9,"Washita","KONZ",-0.9729724481,-0.7784016497,-1.1675432466
10,"Washita","KONZ",-1.0243644770,-0.7532563854,-1.2954725685
11,"Washita","KONZ",-0.4581775239,-0.2287397059,-0.6876153420
12,"Washita","KONZ",-0.4412112527,-0.1535518820,-0.7288706233
13,"Washita","KONZ", 0.9607710660, 1.0630432083, 0.8584989237
14,"Washita","KONZ", 0.9355846338, 1.0551592728, 0.8160099947
15,"Washita","KONZ", 0.5484460915, 0.6135128812, 0.4833793019
16,"Washita","KONZ", 1.0492395085, 1.1535318037, 0.9449472133
17,"Washita","KONZ", 0.9024195660, 0.9756543761, 0.8291847558
18,"Washita","KONZ", 1.4785510112, 1.6229404921, 1.3341615302
19,"Washita","KONZ", 2.5814166981, 2.6901315258, 2.4727018703
20,"Washita","KONZ", 3.3193193326, 3.5546879450, 3.0839507202
21,"Washita","KONZ", 3.5888241732, 3.7499843264, 3.4276640199
22,"Washita","KONZ", 3.3423528601, 3.4810876770, 3.2036180432
23,"Washita","KONZ", 2.7668405043, 2.9294913503, 2.6041896583
24,"Washita","KONZ", 3.6065356853, 3.7929542626, 3.4201171081
25,"Washita","KONZ", 4.3267983674, 4.8163926510, 3.8372040838
26,"Washita","KONZ", 5.6864716820, 6.2578311931, 5.1151121709
27,"Washita","KONZ", 3.4418065817, 3.9578740777, 2.9257390857
28,"Washita","KONZ", 3.3694866133, 3.7665715665, 2.9724016601
29,"Washita","KONZ", 3.0997561968, 3.5437850477, 2.6557273460
30,"Washita","KONZ", 2.6305219863, 3.0538238508, 2.2072201218
31,"Washita","KONZ", 1.9244099352, 2.1869323574, 1.6618875131
32,"Washita","KONZ", 2.4795666521, 2.8162612871, 2.1428720171
33,"Washita","KONZ", 3.4277635920, 3.8898502140, 2.9656769701
34,"Washita","KONZ", 2.5193922108, 2.9098520181, 2.1289324036
35,"Washita","KONZ", 1.8582727565, 2.1647919798, 1.5517535331
36,"Washita","KONZ", 1.6001184339, 1.8955187626, 1.3047181053
37,"Washita","KONZ", 1.9336077038, 2.1901508724, 1.6770645353
38,"Washita","KONZ", 2.0518771491, 2.1344562837, 1.9692980145
39,"Washita","KONZ", 1.7597596977, 1.9150514556, 1.6044679399
40,"Washita","KONZ", 2.2726086324, 2.4928202113, 2.0523970536
41,"Washita","KONZ", 2.5690417881, 2.8037972626, 2.3342863136
42,"Washita","KONZ", 1.2648959598, 1.3986665326, 1.1311253870
43,"Washita","KONZ", 0.6249261278, 0.7356367792, 0.5142154765
44,"Washita","KONZ", 0.7891720416, 1.0194906148, 0.5588534683
45,"Washita","KONZ",-0.3407849624,-0.2826756098,-0.3988943150
46,"Washita","KONZ", 0.0332657527, 0.0942767885,-0.0277452830
47,"Washita","KONZ", 0.1646285920, 0.3025591781, 0.0266980059
48,"Washita","KONZ", 0.4506927072, 0.6299716590, 0.2714137554
49,"Washita","KONZ", 0.4533076166, 0.6174616635, 0.2891535697
50,"Washita","KONZ", 0.2793300803, 0.3416265502, 0.2170336104
51,"Washita","KONZ", 0.3841490508, 0.5278932160, 0.2404048855
52,"Washita","KONZ", 0.4269257819, 0.5145344812, 0.3393170825
53,"Washita","KONZ", 0.2356856963, 0.2881062045, 0.1832651880
 1,"Kennedy","OSBS", 3.0446763558, 3.2121117078, 2.8772410037
 2,"Kennedy","OSBS", 3.2713539011, 3.3188698006, 3.2238380016
 3,"Kennedy","OSBS", 3.3025438462, 3.3454454187, 3.2596422737
 4,"Kennedy","OSBS", 3.3070137912, 3.3510609245, 3.2629666579
 5,"Kennedy","OSBS", 3.2713539011, 3.3188698006, 3.2238380016
 6,"Kennedy","OSBS", 3.3655264154, 3.4045493690, 3.3265034618
 7,"Kennedy","OSBS", 3.3946532000, 3.4385151332, 3.3507912668
 8,"Kennedy","OSBS", 3.3670850738, 3.4131130565, 3.3210570911
 9,"Kennedy","OSBS", 3.3841570238, 3.4446001602, 3.3237138874
10,"Kennedy","OSBS", 3.2760813095, 3.3586501624, 3.1935124567
11,"Kennedy","OSBS", 3.3050573443, 3.3840391352, 3.2260755533
12,"Kennedy","OSBS", 3.3262965025, 3.3846679023, 3.2679251028
13,"Kennedy","OSBS", 3.9044474666, 3.9802488935, 3.8286460396
14,"Kennedy","OSBS", 3.9462271536, 4.0524875396, 3.8399667676
15,"Kennedy","OSBS", 4.0722343859, 4.0935083621, 4.0509604096
16,"Kennedy","OSBS", 4.1878468705, 4.2262624847, 4.1494312563
17,"Kennedy","OSBS", 4.3748176763, 4.4234140468, 4.3262213059
18,"Kennedy","OSBS", 4.5872942384, 4.6952768870, 4.4793115898
19,"Kennedy","OSBS", 4.7836211667, 4.8771290000, 4.6901133333
20,"Kennedy","OSBS", 4.6875693499, 4.7393361670, 4.6358025329
21,"Kennedy","OSBS", 4.6431335530, 4.6479632379, 4.6383038682
22,"Kennedy","OSBS", 4.8487522999, 4.9378955613, 4.7596090385
23,"Kennedy","OSBS", 5.5833409756, 5.6704579168, 5.4962240343
24,"Kennedy","OSBS", 5.9410410417, 6.0997886336, 5.7822934497
25,"Kennedy","OSBS", 5.8431171771, 5.9422606456, 5.7439737086
26,"Kennedy","OSBS", 5.0289082143, 5.1514487771, 4.9063676515
27,"Kennedy","OSBS", 4.5247329004, 4.5978933148, 4.4515724860
28,"Kennedy","OSBS", 5.0382664109, 5.1109596952, 4.9655731267
29,"Kennedy","OSBS", 5.0931952503, 5.1298001024, 5.0565903982
30,"Kennedy","OSBS", 5.2928249286, 5.4216812749, 5.1639685822
31,"Kennedy","OSBS", 4.9880872143, 5.0277505648, 4.9484238638
32,"Kennedy","OSBS", 4.9192050310, 5.0089574221, 4.8294526400
33,"Kennedy","OSBS", 4.8302406786, 4.8512906870, 4.8091906702
34,"Kennedy","OSBS", 5.1300977659, 5.2417824574, 5.0184130745
35,"Kennedy","OSBS", 5.2642024242, 5.3217728968, 5.2066319515
36,"Kennedy","OSBS", 4.7609175852, 4.8020842425, 4.7197509278
37,"Kennedy","OSBS", 4.6370288259, 4.6709424221, 4.6031152296
38,"Kennedy","OSBS", 4.8372616803, 4.8788783670, 4.7956449937
39,"Kennedy","OSBS", 5.0494367709, 5.0618493001, 5.0370242417
40,"Kennedy","OSBS", 4.9151943352, 4.9795479654, 4.8508407050
41,"Kennedy","OSBS", 4.6036643838, 4.6479984948, 4.5593302728
42,"Kennedy","OSBS", 4.3125936873, 4.4737148679, 4.1514725067
43,"Kennedy","OSBS", 4.2054708644, 4.4188642791, 3.9920774497
44,"Kennedy","OSBS", 3.3293060861, 3.3999596419, 3.2586525304
45,"Kennedy","OSBS", 3.4131853237, 3.4770959258, 3.3492747216
46,"Kennedy","OSBS", 3.0198782276, 3.1837727252, 2.8559837300
47,"Kennedy","OSBS", 2.5166295355, 2.5950374892, 2.4382215818
48,"Kennedy","OSBS", 2.8551561598, 2.9624870904, 2.7478252293
49,"Kennedy","OSBS", 3.0160789904, 3.0856009762, 2.9465570045
50,"Kennedy","OSBS", 2.5995359788, 2.8095563400, 2.3895156177
51,"Kennedy","OSBS", 2.3638771510, 2.4856701090, 2.2420841930
52,"Kennedy","OSBS", 2.2249405780, 2.3215448719, 2.1283362840
 1,"SRC","SRER",-0.0456551458,-0.0322080925,-0.0591021991
 2,"SRC","SRER",-0.0299429429,-0.0130319402,-0.0468539457
 3,"SRC","SRER",-0.0117905999, 0.0082122604,-0.0317934602
 4,"SRC","SRER", 0.0185903561, 0.0345634662, 0.0026172461
 5,"SRC","SRER",-0.0048626934, 0.0110336054,-0.0207589922
 6,"SRC","SRER", 0.0030265106, 0.0185630640,-0.0125100429
 7,"SRC","SRER", 0.0303088249, 0.0448171316, 0.0158005182
 8,"SRC","SRER", 0.0164308781, 0.0313767558, 0.0014850005
 9,"SRC","SRER", 0.0603699132, 0.0756473894, 0.0450924370
10,"SRC","SRER", 0.0826210561, 0.0999499418, 0.0652921704
11,"SRC","SRER", 0.0975211552, 0.1170736132, 0.0779686973
12,"SRC","SRER", 0.1008174138, 0.1238526472, 0.0777821805
13,"SRC","SRER", 0.1239140028, 0.1513243827, 0.0965036229
14,"SRC","SRER", 0.0692299125, 0.0917014840, 0.0467583411
15,"SRC","SRER", 0.0916488696, 0.1332850931, 0.0500126461
16,"SRC","SRER", 0.0424326674, 0.0888349552,-0.0039696203
17,"SRC","SRER", 0.0350099170, 0.0841258991,-0.0141060652
18,"SRC","SRER", 0.0178536067, 0.0613514147,-0.0256442012
19,"SRC","SRER",-0.0008387427, 0.0415617190,-0.0432392044
20,"SRC","SRER", 0.0314119799, 0.0775672783,-0.0147433186
21,"SRC","SRER", 0.0199351815, 0.0617611161,-0.0218907531
22,"SRC","SRER", 0.0397985752, 0.0818584554,-0.0022613050
23,"SRC","SRER", 0.0454530713, 0.0905120433, 0.0003940994
24,"SRC","SRER", 0.0376960480, 0.0798695969,-0.0044775008
25,"SRC","SRER", 0.0326769417, 0.0764908434,-0.0111369600
26,"SRC","SRER", 0.2290818977, 0.3198617824, 0.1383020130
27,"SRC","SRER", 0.4959303724, 0.6051807475, 0.3866799973
28,"SRC","SRER", 0.6700572365, 0.7704543943, 0.5696600787
29,"SRC","SRER", 0.9983351019, 1.1088491286, 0.8878210753
30,"SRC","SRER", 0.9986739927, 1.1109762351, 0.8863717503
31,"SRC","SRER", 0.8741515917, 0.9913881064, 0.7569150769
32,"SRC","SRER", 0.8075149453, 0.9099274432, 0.7051024474
33,"SRC","SRER", 0.6260829988, 0.7030110465, 0.5491549511
