"week","site","neon","nee_diff.avg","nee_diff.upper","nee_diff.lower"
39,"SRM","SRER", 2.248529e+00, 2.426410e+00, 2.070648e+00
40,"SRM","SRER", 1.842565e+00, 1.980700e+00, 1.704430e+00
41,"SRM","SRER", 1.516421e+00, 1.630144e+00, 1.402698e+00
42,"SRM","SRER", 1.433343e+00, 1.531771e+00, 1.334916e+00
43,"SRM","SRER", 1.156723e+00, 1.251292e+00, 1.062154e+00
44,"SRM","SRER", 8.846789e-01, 9.635066e-01, 8.058512e-01
45,"SRM","SRER", 7.451917e-01, 8.075746e-01, 6.828088e-01
46,"SRM","SRER", 7.481903e-01, 8.111285e-01, 6.852522e-01
47,"SRM","SRER", 6.210030e-01, 6.806930e-01, 5.613131e-01
48,"SRM","SRER", 4.195504e-01, 4.883547e-01, 3.507461e-01
49,"SRM","SRER", 2.143217e-01, 2.673341e-01, 1.613094e-01
50,"SRM","SRER", 1.695634e-01, 2.107201e-01, 1.284066e-01
51,"SRM","SRER", 1.711694e-01, 2.145058e-01, 1.278330e-01
52,"SRM","SRER", 1.064830e-01, 1.519065e-01, 6.105953e-02
53,"SRM","SRER", 3.107349e-01, 4.339912e-01, 1.874786e-01
