"week","site","neon","nee_day.avg","nee_day.upper","nee_day.lower"
32,"ARM","KONZ", 0.134768353, 0.917676431,-0.648139724
33,"ARM","KONZ",-1.192717885, 0.065771161,-2.451206931
34,"ARM","KONZ",-0.210515488, 0.672058815,-1.093089791
35,"ARM","KONZ",-2.910402654,-1.714806321,-4.105998987
36,"ARM","KONZ",-2.287184438,-1.278140921,-3.296227955
37,"ARM","KONZ",-3.005620929,-1.978241818,-4.033000039
38,"ARM","KONZ",-1.713020796,-1.214967404,-2.211074188
39,"ARM","KONZ",-2.476882667,-1.666899063,-3.286866271
40,"ARM","KONZ",-1.247868145,-0.614160453,-1.881575837
41,"ARM","KONZ", 0.291011406, 0.550092404, 0.031930407
42,"ARM","KONZ", 0.953040812, 1.217205791, 0.688875834
43,"ARM","KONZ", 1.111362513, 1.255974032, 0.966750995
44,"ARM","KONZ", 1.006017818, 1.267535875, 0.744499761
45,"ARM","KONZ", 1.058856618, 1.155023524, 0.962689712
46,"ARM","KONZ", 1.198044369, 1.318829290, 1.077259449
47,"ARM","KONZ", 1.026961158, 1.114743281, 0.939179035
48,"ARM","KONZ", 0.973232197, 1.052320230, 0.894144164
49,"ARM","KONZ", 0.639616793, 0.698115392, 0.581118194
50,"ARM","KONZ", 0.532376302, 0.661413386, 0.403339218
51,"ARM","KONZ", 0.735383911, 0.831751446, 0.639016376
52,"ARM","KONZ", 0.848164763, 0.888985347, 0.807344179
53,"ARM","KONZ", 0.042653006, 0.389735605,-0.304429594
 1,"Washita","KONZ", 1.339896338, 1.745053600, 0.934739076
 2,"Washita","KONZ", 0.615731051, 0.774274681, 0.457187421
 3,"Washita","KONZ", 1.774386276, 2.364718262, 1.184054290
 4,"Washita","KONZ", 0.636772176, 1.017217327, 0.256327025
 5,"Washita","KONZ", 2.152615307, 2.791907613, 1.513323002
 6,"Washita","KONZ", 0.693574724, 0.949286251, 0.437863197
 7,"Washita","KONZ", 1.134519430, 1.452772602, 0.816266258
 8,"Washita","KONZ", 1.920760387, 2.490613331, 1.350907443
 9,"Washita","KONZ", 0.963438911, 1.634327528, 0.292550294
10,"Washita","KONZ", 1.741725426, 2.620570366, 0.862880485
11,"Washita","KONZ", 2.707926501, 3.475426705, 1.940426296
12,"Washita","KONZ", 1.656690228, 2.204179497, 1.109200958
13,"Washita","KONZ", 1.607216534, 1.926010672, 1.288422395
14,"Washita","KONZ", 1.002160028, 1.350728901, 0.653591155
15,"Washita","KONZ", 0.197102358, 0.688974747,-0.294770031
16,"Washita","KONZ", 0.087834036, 0.341992816,-0.166324743
17,"Washita","KONZ", 0.159004208, 0.394687989,-0.076679574
18,"Washita","KONZ",-0.518343543,-0.292250618,-0.744436468
19,"Washita","KONZ",-0.325721495, 0.130775267,-0.782218256
20,"Washita","KONZ",-0.087453540, 0.662613163,-0.837520244
21,"Washita","KONZ", 0.410929326, 0.939526853,-0.117668201
22,"Washita","KONZ",-0.964086801, 0.252656735,-2.180830338
23,"Washita","KONZ",-1.931143598,-1.335609737,-2.526677459
24,"Washita","KONZ", 0.902673951, 1.669129069, 0.136218832
25,"Washita","KONZ",-0.007308856, 0.880648093,-0.895265806
26,"Washita","KONZ", 2.288256947, 2.885926242, 1.690587653
27,"Washita","KONZ", 0.752246852, 1.665230431,-0.160736727
28,"Washita","KONZ", 1.751968241, 2.232288810, 1.271647672
29,"Washita","KONZ", 0.883942137, 1.522686706, 0.245197567
30,"Washita","KONZ", 1.484969776, 1.935983067, 1.033956484
31,"Washita","KONZ", 0.619465541, 1.271082647,-0.032151565
32,"Washita","KONZ", 1.332263098, 1.942664382, 0.721861814
33,"Washita","KONZ", 2.544695077, 2.939005792, 2.150384363
34,"Washita","KONZ", 1.651135779, 2.001323637, 1.300947921
35,"Washita","KONZ", 1.700429628, 2.044150147, 1.356709108
36,"Washita","KONZ", 1.634781646, 2.012387838, 1.257175455
37,"Washita","KONZ", 1.759380546, 2.075295709, 1.443465384
38,"Washita","KONZ", 2.352119641, 2.641105839, 2.063133442
39,"Washita","KONZ", 0.684183027, 1.204839495, 0.163526560
40,"Washita","KONZ", 0.962272016, 1.192880981, 0.731663050
41,"Washita","KONZ", 0.896732636, 1.082184120, 0.711281153
42,"Washita","KONZ", 1.108502129, 1.565765390, 0.651238867
43,"Washita","KONZ", 0.960244922, 1.284516644, 0.635973199
44,"Washita","KONZ", 1.689679773, 2.104407161, 1.274952385
45,"Washita","KONZ", 1.271862553, 2.001576088, 0.542149018
46,"Washita","KONZ", 0.291721799, 0.758030409,-0.174586810
47,"Washita","KONZ", 0.439525138, 0.822472257, 0.056578019
48,"Washita","KONZ", 0.101069204, 0.348831808,-0.146693401
49,"Washita","KONZ", 0.668746872, 0.959224742, 0.378269003
50,"Washita","KONZ", 0.939346188, 1.236777510, 0.641914866
51,"Washita","KONZ", 0.856219255, 1.035278880, 0.677159631
52,"Washita","KONZ", 0.908301459, 1.075133075, 0.741469844
53,"Washita","KONZ", 0.776864043, 1.019009716, 0.534718370
 1,"Kennedy","OSBS",-5.266450452,-4.959190883,-5.573710022
 2,"Kennedy","OSBS",-4.960469643,-4.882697365,-5.038241921
 3,"Kennedy","OSBS",-5.008369740,-4.921658526,-5.095080955
 4,"Kennedy","OSBS",-4.938376753,-4.855209892,-5.021543615
 5,"Kennedy","OSBS",-4.960469643,-4.882697365,-5.038241921
 6,"Kennedy","OSBS",-4.819470192,-4.723311001,-4.915629383
 7,"Kennedy","OSBS",-4.675141739,-4.595001109,-4.755282369
 8,"Kennedy","OSBS",-4.611604556,-4.500442577,-4.722766535
 9,"Kennedy","OSBS",-3.574813083,-3.120587033,-4.029039133
10,"Kennedy","OSBS",-3.689627445,-3.082082604,-4.297172285
11,"Kennedy","OSBS",-3.271429591,-2.368397689,-4.174461494
12,"Kennedy","OSBS",-1.478575576,-0.897525131,-2.059626022
13,"Kennedy","OSBS",-1.392248000,-0.632790122,-2.151705878
14,"Kennedy","OSBS",-1.615432048, 0.166939384,-3.397803479
15,"Kennedy","OSBS",-1.191420042, 0.700276818,-3.083116903
16,"Kennedy","OSBS",-5.850726842,-5.326502096,-6.374951588
17,"Kennedy","OSBS",-1.737739771, 0.031210056,-3.506689597
18,"Kennedy","OSBS",-3.777893735,-2.446876216,-5.108911254
19,"Kennedy","OSBS",-4.074571917,-0.733664327,-7.415479506
20,"Kennedy","OSBS",-3.716863424,-2.708576779,-4.725150068
21,"Kennedy","OSBS",-3.242607020,-1.618700262,-4.866513778
22,"Kennedy","OSBS",-3.749767449,-1.930477751,-5.569057147
23,"Kennedy","OSBS", 0.406346727, 2.140205573,-1.327512119
24,"Kennedy","OSBS", 0.020341570, 1.672134145,-1.631451004
25,"Kennedy","OSBS",-0.780607443, 0.177342212,-1.738557098
26,"Kennedy","OSBS",-4.504879757,-3.926706755,-5.083052759
27,"Kennedy","OSBS",-5.598450661,-4.788241791,-6.408659531
28,"Kennedy","OSBS",-2.761433234,-1.746157994,-3.776708475
29,"Kennedy","OSBS",-4.088506498,-2.654751151,-5.522261845
30,"Kennedy","OSBS",-6.937236234,-6.677666220,-7.196806248
31,"Kennedy","OSBS",-4.740038964,-3.812879362,-5.667198567
32,"Kennedy","OSBS",-4.773024524,-3.212120047,-6.333929001
33,"Kennedy","OSBS",-3.604633875,-1.811789122,-5.397478628
